Signature,Text,Name
C_004_32_4_054,ob Dessau? Auf einem der anderen Fotos mit Dessauer Rathausturm im Hintergrund ist eine solche verglaste Ecklösung zu sehen,Lepsius1842
C_004_32_4_062,"Magdeburg, Dom, Hoher Chor und Türme von Osten aus",LissyMD
C_004_32_4_064,"Magdeburg, Himmelreichstr./Breiter Weg",LissyMD
C_004_32_4_066,"Magdeburg, Neu-Olvenstedt, Brunnenstieg, 1980er Jahre",LissyMD
C_004_32_4_069,"Magdeburg, Zentraler Platz (heute Ulrichsplatz), Blick zu den Wohnhäusern Krügerbrücke und Otto-von-Guericke-Straße",LissyMD
C_004_32_4_080,"Quedlinburg, Markt, Muünzenberg-Musikanten (eine Gruppe von 4 bronzenen Musikanten, die 1976 von Prof. Wolfgang Dreysse geschaffen wurde)",LissyMD
C_004_32_4_081,"Quedlinburg, Fachwerkmuseum „Ständerbau“ im Word",LissyMD
C_004_32_4_001,"Zwickau, Hauptmarkt, mit dem Turm das Gewandhaus, rechts daneben das Rathaus",LissyMD
C_004_Diamappe011,Neubau Nikolaiviertel Berlin-Mitte,Alex75 (Zooniverse/Talk)
C_004_Diamappe013,Gasse im Nikolaiviertel in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C_004_Diamappe029,Sophienstr. 16 in Berlin,Alex75 (Zooniverse/Talk)
C_004_Diamappe034,Blick auf die Neubauten bzw. die Schule an der heutigen Torstraße 216 in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C_004_Diamappe036,Planetarium im Ernst-Thälmann-Park an der Prenzlauer Allee in Berlin,Alex75 (Zooniverse/Talk)
C_004_Diamappe049,"""Neubauten am Ernst-Thälmann-Park, Berlin-Prenzlauer Berg; Mitte der achtziger Jahre""",Alex75 (Zooniverse/Talk)
C_004_Diamappe060,Seeterrassen am Fennpfuhl in Berlin-Lichtenberg,Alex75 (Zooniverse/Talk)
C_004_Diamappe066,"""Eingansbereich zur Bibliothek auf der Rückseite des früheren HO-Handelszentrums in Berlin-Hohenschönhausen - Zingster Str./Falkenberger Chaussee; heutiger Standort des """"Lindencenter""""""",Alex75 (Zooniverse/Talk)
C_004_Diamappe067,"""früheres HO-Kaufhaus in Berlin-Hohenschönhausen am Prerower Platz (Zingster Str./Falkenberger Chaussee), heute Standort vom """"Lindencenter""""""",Alex75 (Zooniverse/Talk)
C_004_Diamappe154,Dessau mit Blick auf den Rathausturm,LissyMD
C_004_Diamappe169,"Ob Halle/Saale, Zenkerstraße Ecke Moritzzwinger?",Lepsius1842 (Zooniverse/Talk)
C_004_Diamappe174,"Leipzig, Bowlingtreff am Wilhelm-Leuschner-Platz, Innenaufnahme vom Atrium",LissyMD
C_004_Diamappe175,"Leipzig, Blick aus der Westvorstadt zum Neuen Rathaus",LissyMD
C_004_Diamappe176,"vermutlich Kinder-und Jugendsportschule II Rudolf Friedrich in Leipzig, Brüderstraße, nach 1985",LissyMD
C_004_Diamappe177,vermutlich Kinder-und Jugendsportschule II Rudolf Friedrich in Leipzig,LissyMD
C_004_Diamappe194,"Suhl, Neubebauung im Zentrum im Zusammenhang mit dem Ausbau als Bezirkshauptstadt, aufgenommen ca. 1985
Von diesen Neubauten gibt es noch viele Aufnahmen, auf denen oft auch das Waffenmuseum drauf ist.
… und das benachbarte ehem. Centrum-Warenhaus (hier rechts am Bildrand)","rogger.falk (Zooniverse/Talk)
LissyMD (Zooniverse/Talk)
rogger.falk (Zooniverse/Talk)"
D_221_1_2_D051,"Gera, Puschkinplatz, im Hintergrund das Theater, 70er Jahre",rogger.falk (Zooniverse/Talk)
D2_1-00029,"Leipzig, Thomaskirchhof, rechts Thomaskirche, über der hellen Jacke des Herrn der Sockel des Neuen Bach-Denkmals",LissyMD
D2_1-00031,"Leipzig, Blick von der Thomaswiese über den Markt zum Alten Rathaus, links das Messeamt und rechts das Messehaus am Markt",LissyMD
D2_1-00034,"""Leipzig, Markt; links das Gebäude, in dem sich die Milchbar Pinguin befindet, im Hintergrund in der Mitte der Turm der Nikolaikirche, rechts das Alte Rathaus; in der Zeit, bevor die Altstadt Fußgängerzone wurde""",LissyMD
D2_1-00083,"Das könnte am Kulkwitzer See in Leipzig-Markranstädt sein, so Ende der 1970er Jahre.
Ganz richtig, dass das am Kulkwitzer See ist, aber tatsächlich in Leipzig-Grünau und nicht in Markranstädt, was wiederum eine eigenständige Stadt ist. 😉","LissyMD (Zooniverse/Talk)
LongYuhan (Zooniverse/Talk)"
D2_1-00084,"seitenverkehrte Aufnahme! Leipzig Karl-Marx-Platz, heute Augustusplatz, rechts das Seminargebäude der Uni, in der Mitte der Uniriese, davor der Mendebrunnen, links das Gewandhaus [Bild mittlerweile gespiegelt und Beschreibung angepasst]",LissyMD
D2_1-00093,"Leipzig, Lennéanlage am Ring, links der damalige Uni-Riese, in der Mitte das Gewandhaus, rechts das Europahaus",LissyMD
D2_1-00136,"Suhl, ZOB, ca. 1980",rogger.falk (Zooniverse/Talk)
D2_1-00148,"Halberstadt, Dom",LissyMD
D2_1-00155,Blick von der Friedrichstraße 167 in Richtung S-Bahnhof Friedrichstraße und zum Internationalen Handelszentrum,Alex75 (Zooniverse/Talk)
D2_1-00220,"Schwerin, Puschkinstraße, Höhe Markt, Blick Richtung Nord, 70er Jahre",rogger.falk (Zooniverse/Talk)
D2_1-00259,"Rostock, Wiederaufbau der Ostseite der Wokrenter Straße, aufgenommen vom Hochhaus in der Langen Straße, Anfang der 80er Jahre",rogger.falk (Zooniverse/Talk)
D2_1-00423,"Potsdam, Restaurant und Café „Seerose“, ein Schalenbau von Ulrich Müther, 1980er Jahr",LissyMD
D2_1-00427,Blick in die Palisadenstraße 65 in Berlin-Friedrichshain,Alex75 (Zooniverse/Talk)
D2_1-01239,"Leipzig, Karl-Marx-Platz (heute Augustusplatz), Blick in die Grimmaische Straße, links das alte Seminargebäude der Uni mit dem Karl-Marx-Relief, rechts der Turm der Nikolaikirche, wohl Ende der 1970er Jahre bzw. vor Fertigstellung des Gewandhauses wg. der Baustelleneinrichtung",LissyMD
D2_1-01241,"Leipzig, Str. d. 18. Oktober (rechts) führt auf Philipp-Rosenthal-Str. (kommt von links)",LissyMD
D2_1-01653,"Grimma, Rathaus mit Eva-Brunnen, nette Informationen unter: https://www.brunnenturmfigur.de/index.php?cat=Brunnen und Wasserspiele%2Fin Sachsen und Sachsen-Anhalt&page=Grimma%2C Eilenburg und Wurzen&highlight=Grimma",LissyMD
D2_1-01673,"Dresden, Hauptstr./Neustädter Markt",LissyMD
C105-00102,"Gera, Schuhgasse mit Blick auf den Rathausturm",LissyMD
C105-00109,"eventuell Erfurt, Fußgängerzone Anger., Anfang 80er Jahre
ja, Erfurt","rogger.falk (Zooniverse/Talk)
Bahner (Zooniver/Talk)"
C105-00111,"""Es handelt sich um den Steinweg in Suhl. Es ist eine der wenigen erhaltenen Straßen des historischen Stadtgefüges. Weite Teile der Stadt wurden im Rahmen des Umbaus zur Bezirksstadt umgestaltet und radikal überformt. Zum Bild: Blick aus Richtung Kreuzkirche in Richtung Markt. Vorne links zu sehen die """"Goldbroiler-Bar"""". Vorne links die Galerie im Steinweg.  Ich würde das Bild auf die 1970-er Jahre datieren. Andere Anziehungspunkte im Steinweg waren """"Der Fisch"""" - ein Restaurant mit Fischangeboten, ein Eisladen im Rücken des Fotografen, oder die Bäckerei Krüger im weiteren Verlauf des Steinwegs links. Im Hintergrund ein kleiner Platz auf dem der Diana-Brunnen steht und man nach links das Centrum-Warenhaus erreichte.""",Zooniverse
C105-00117,"könnte Halle/Saale sein, Rathausstraße",LissyMD
C105-00137,"""nur eine Vermutung, müsste man mit anderen Bildern abgleiche, aber das hier könnte in Frankfurt (Oder) sein, das Hochhaus in der Straße """"Halbe Stadt""""""",LongYuhan (Zooniverse/Talk)
C105-00154,"Platz der Vereinten Nationen, früher Leninplatz",Alex75 (Zooniverse/Talk)
C105-00204,"15230 Frankfurt (Oder), Blick in Richtung Süden von der Nordseite der Rosa-Luemburg-Straße in die Straße Dr.-Salvador-Allende-Höhe, links Wohnhäuser der Dr.-Salvador-Allende-Höhe, mittig im Bildhintergrund die 4 Hochhäser des Pablo-Neruda-Block, rechts am Bildrand das Karl-Liebknecht-Gymnasium, Aufnahmezeit wahrscheinlich zeitnah zur Baufertigstellung im Jahre 1976",Zooniverse
C105-00223,"Magdeburg, Elbuferpromenade, rechts die Wallonerkirche, in der Mitte St. Petri, links davon die Magdalenenkapelle, im Vordergrund der Fischbrunnen von Wilfried Heider um 1974",LissyMD
C105-00266,Spielplatz Monbijoupark Berlin-Mitte gegenüber der Museumsinsel,Alex75 (Zooniverse/Talk)
C_004_32_1_130,"Stargarder Tor, Neubrandenburg ?",J.Kun
C105-00278,"""Berlin, Ernst-Thälmann-Park, Blick zur Greifswalder Straße;""",LissyMD
C105-00280,Ernst-Thälmann-Park in Berlin-Prenzlauer Berg,Alex75 (Zooniverse/Talk)
C105-00294,"""Magdeburg, Kreuzung """"Weinarkade"""" Wilhelm-Pieck-Allee (heute Ernst-Reuter-Allee) Ecke Otto-von-Guericke-Straße""",LissyMD
C105-00302,"Weimar, Marktstraße, innerstädtischer Neubau, Anfang der 80er Jahre, links im EG der ehemalige Gemüseladen",rogger.falk (Zooniverse/Talk)
C105-00360,"Blick auf die Häsuer in Husemannstr.13-15 in Berlin-Prenzlauer Berg, Sanierung in den achtziger Jahren",Alex75 (Zooniverse/Talk)
C105-00452,vermutlich Halle/Saale,ZX9CHR (Zooniverse/Talk)
C105-00500,"""Blick aus Biesdorf in Richtung Helene-Weigel-Platz (Marzahn), über die Dächer der Clubgaststätte und Kaufhalle """"Biesdorfer Kreuz""""""",Sebastian79 (Zooniverse/Talk)
C105-00523,"Blick auf die Neubauten in der Torstraße 189, 10115 Berlin",Alex75 (Zooniverse/Talk)
C105-00530,Torstraße 205 (?) in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C105-00532,"""Via Google Street View oder Apple Maps """"umsehen"""" lässt sich das Foto eindeutig der benannten Kreuzung zuordnen.""
""Torstr. / Borsigstr., Berlin
Fotografiert von etwa Torstr. 200
goo.gl/maps/ptC7917W4RGv9fSQ9""
Torstraße / Borsigstraße 36","gFab (Zooniverse/Talk)
J.Kun (Zooniverse/Talk)
Alex75"
C105-00541,Blick aus der Neuen Schönhauser Straße auf die Kreuzung Alte Schönhauser Str./Münzstr.,Alex75 (Zooniverse/Talk)
C105-00552,Blick aus der Tucholskystraße auf Neubauten an der Torstraße 189 in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C105-00644,"""Solch eine Kletterburg war zu DDR Zeiten selten, obwohl die Spielplätze oft in unmittelbarer Nähe der Wohnhäuser waren. In der Wendezeit - als man wirklich nicht wusste, was morgen geschehen würde ?- da konnte man von unserem Balkon zur Oststadt in Nbg. schauen. Im Radio war die rede von einem neuen Abenteuerspielplatz am Hang der Oststadt und wir konnten das Baugeschehen 1990 in stündlicher Veränderung beobachten, dann kam übers Radio ein Hilferuf wegen den Pallisaden, die auf dem Transport wohl verunglückt waren und der ganze Zeitrahmen in Frage stand. Dies war höchst interessant zu beobachten, wie viele kleine und größere Firmen ihre Hilfe anboten, na jedenfalls wurde die Eröffnung des Spielplatzes zeitmäßig eingehalten und wir wunderten uns in dieser Zeit, wie und was alles mögliche wäre, wenn die Menschen zusammen arbeiten. dies war und ist meine Erinnerung an diese Zeit, schade, dass von dieser Motivation bis heute nichts geblieben ist. Wir dachten damals wirklich an ein grosses friedliches Europa und jeder - wirklich jeder - glaubte an dieses wiedervereinigte Deutschland in Frieden.
[Kommentar bzw. Ausgangspost auf facebook mittlerweile gelöscht; siehe screenshot]""",Andreas Franz - Facebook
C105-00694,"Halle-Neustadt, Frauenbrunnen (1974 zum 10. Jahrestag der Grundsteinlegung der Stadt eingeweiht, geschaffen wurde er vom Hallenser Bildhauer Gerhard Lichtenfeld)",LissyMD
C105-00699,"Blick auf das Wohnhaus Greifswalder Str. 43, 10405 Berlin",Alex75 (Zooniverse/Talk)
C105-00913,"Rostock-Lichtenhäger Brink, Blick aus südlicher Richtung, ca. 1985",rogger.falk (Zooniverse/Talk)
C105-00965,"Marzahn, Blick von der Marchwitzastraße (Hochhaus abgerissen) über die Allee der Kosmonauten in Richtung Geißenweide. Rechts Luise-Zietz-Straße.",Sebastian79 (Zooniverse/Talk)
C105-01187,"Poliklinik am S-Bahnhof Springpfuhl - Allee der Kosmonauten 47, 12681 Berlin-Marzahn",Alex75 (Zooniverse/Talk)
C105-01241,"""Fußgängerunterführung am Helene-Weigel-Platz, Unterquerung der Allee der Kosmonauten in Richtung """"Biesdorfer Kreuz""""""",Sebastian79 (Zooniverse/Talk)
C105-01336,seitlicher Blick aus der Langenbeckstraße auf die Vorderfront des SEZ (Berlin) parallel zur heutigen Landsberger Allee (früher Leninallee),Alex75 (Zooniverse/Talk)
C105-01489,"""Vermutlich Straßenbahnhaltestelle Alt-Marzahn; Bus vermutlich Linie 92 (S-Marzahn-S Biesdorf)""",Sebastian79 (Zooniverse/Talk)
C105-01525,"""Rampe zur Unterquerung der Allee der Kosmonauten in Berlin-Marzahn; Blick Richtung Springpfuhl""",Alex75 (Zooniverse/Talk)
C105-01548,Fontane-Denkmal auf dem Fontaneplatz in Neuruppin,rogger.falk (Zooniverse/Talk)
C105-01582,"Blick vom Kienberg (in den Gärten der Welt) auf das Neubaugebiet Marzahn,",Alex75 (Zooniverse/Talk)
C105-01590,"Erfurt, Anger, im Hintergrund der Angerbrunnen, ca. 1980",rogger.falk (Zooniverse/Talk)
C105-01645,"Erfurt, St. Severi, ca. 1970",rogger.falk (Zooniverse/Talk)
D2_1-01365,Altes Museum auf der Museumsinsel Berlin-Mitte,Alex75
C105-01668,"Magdeburg, Stadtteil Neustädter See, Stadtplatz an der Salvador-Allende-Straße, Blaues Gebäude in der Straße Im Steingewände, die Bäume dahinter gehören schon zum ZOO",LissyMD
C105-01681,"Blick vom Berliner Fernsehturm auf das Haus des Lehrers, die Karl-Marx-Allee, Strausberger Platz und im weiteren Verlauf die Frankfurter Allee",Alex75 (Zooniverse/Talk)
C105-01717,"Potsdam-Innenstadt, Brandenburger Straße, Blick von der südwestlichen Ecke der Kreuzung zur heutigen Hermann-Elflein-Straße Richtung West, Mai 1980",rogger.falk (Zooniverse/Talk)
C105-01775,"Erfurt, Szene auf dem Anger in den 80er Jahren",rogger.falk (Zooniverse/Talk)
C66_95-0039,"""Blick auf den Eingang zum Tierpark Berlin-Friedrichsfelde (Höhe """"Am Tierpark 68"""")""",Alex75 (Zooniverse/Talk)
C66_95-0342,"Sozialistischer Städtebau an der Mauer direkt neben dem Springer-Hochhaus. Als ich ca. 1984 aus der obersten Etage eines der Hochäuser einen Blick über die Mauer werfen wollte, wurde ich durch eine „engagierte“ Hausbewohnerin des Hauses verwiesen.
Blick auf das Planungsmodell Leipziger Straße in Berlin-Mitte","rogger.falk (Zooniverse/Talk)
Alex75 (Zooniverse/Talk)"
C66_95-0351,Blick auf die Baustelle eines Neubaus in der Tucholskystraße 52 in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C66_95-0352,Baustelle Neubau Torstraße 189 in Berlin-Mitte,Alex75 (Zooniverse/Talk)
C66_95-0361,Blick von der Robert-Uhrig-Straße auf Höhe der Nummer 6B in Berlin-Friedrichsfelde in Richtung der Straße Alt-Friedrichsfelde (B1),Alex75 (Zooniverse/Talk)
C66_95-0371,Frankfurter Allee 195 in Berlin-Lichtenberg,Alex75 (Zooniverse/Talk)
C66_95-0413,"Magdeburg, Elbeschwimmhalle",LissyMD
C66_95-0508,"""Blick auf die Kaufhalle auf dem heutigen Heinrich-Dathe-Platz; Nähe U-Bahnhof Tierpark in Berlin""",Alex75 (Zooniverse/Talk)
C66_95-0541,"Modell zum Wiederaufbau des Nikolaiviertel in Berlin-Mitte, Nähe Rotes Rathaus",Alex75 (Zooniverse/Talk)
C66_95-0566,"Blick auf Neubauten in Berlin-Friedrichshain, Stralauer Allee 21 und 20C",Alex (Zooniverse/Talk)
